domain,method,num_reports,A_hit_g,D_spatial_g,A_hit_p,D_spatial_p,A_joint,diag_no_bank,diag_missing_mask,diag_dtmax_none,diag_missing_coords_sva
GraspNet-Desk,center,300,0.13,208.8350486691793,0.03666666666666667,38.88938742319743,0.7011111111111087,0,3,0,0
GraspNet-Desk,dtmax,300,0.10666666666666667,292.84625966389973,0.03666666666666667,52.55417950312297,0.6933333333333311,0,3,0,0
GraspNet-Desk,random,300,0.12333333333333334,137.67769513924915,0.03666666666666667,26.947522435188294,0.6988888888888865,0,3,0,0
GraspNet-Desk,sva,300,0.8766666666666667,14.418006319999694,0.22,0.0033333333333333335,0.9626666666666666,0,0,0,3
Real-Desk,center,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Real-Desk,dtmax,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Real-Desk,random,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Real-Desk,sva,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Sim-Desk,center,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Sim-Desk,dtmax,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Sim-Desk,random,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Sim-Desk,sva,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
