domain,method,num_reports,A_hit_g,D_spatial_g,A_hit_p,D_spatial_p,A_joint,diag_no_bank,diag_missing_mask,diag_dtmax_none,diag_missing_coords_sva
GraspNet-Desk,center,300,0.11333333333333333,220.96867830276489,0.04,36.06037851969401,0.6896666666666643,0,9,0,0
GraspNet-Desk,dtmax,300,0.09,298.19533377488455,0.03666666666666667,48.58944054921468,0.6812222222222198,0,9,0,0
GraspNet-Desk,random,300,0.10333333333333333,146.57731553792954,0.043333333333333335,23.898332461516063,0.6869999999999975,0,9,0,0
GraspNet-Desk,sva,300,0.7666666666666667,20.808664465347928,0.19,0.08861499826113382,0.9172222222222219,0,0,0,9
Real-Desk,center,89,0.06741573033707865,329.2716163035189,0.02247191011235955,63.722826154044505,0.677902621722846,0,5,0,0
Real-Desk,dtmax,89,0.0449438202247191,437.53376067086555,0.02247191011235955,77.45953489153572,0.6719101123595501,0,5,0,0
Real-Desk,random,89,0.07865168539325842,235.8139945496334,0.02247191011235955,48.267864784497895,0.6816479400749058,0,5,0,0
Real-Desk,sva,89,0.6629213483146067,14.800802134395985,0.12359550561797752,1.9825975118058452,0.8786516853932584,0,0,0,5
Sim-Desk,center,90,0.07777777777777778,211.7811088985867,0.044444444444444446,28.968251122368706,0.6829629629629622,0,12,0,0
Sim-Desk,dtmax,90,0.07777777777777778,243.19045537312826,0.044444444444444446,30.694228871663412,0.6844444444444436,0,12,0,0
Sim-Desk,random,90,0.08888888888888889,158.58164065943825,0.044444444444444446,24.47889912923177,0.6866666666666659,0,12,0,0
Sim-Desk,sva,90,0.5555555555555556,25.059047018157113,0.16666666666666666,0.23989666832817924,0.8503703703703703,0,0,0,12
