name,grasp_hit,place_hit,joint_hit,grasp_dist_px,place_dist_px
00_0000,1,0,0,0.0,nan
01_0000,1,0,0,0.0,nan
02_0000,1,0,0,0.0,nan
03_0000,1,0,0,0.0,nan
04_0000,1,0,0,0.0,nan
05_0000,1,0,0,0.0,nan
06_0000,1,0,0,0.0,nan
07_0000,0,0,0,71.04212951660156,nan
08_0000,0,0,0,267.7994689941406,nan
09_0000,1,0,0,0.0,nan
10_0000,1,0,0,0.0,nan
11_0000,1,0,0,0.0,nan
12_0000,1,0,0,0.0,nan
13_0000,1,0,0,0.0,nan
14_0000,1,0,0,0.0,nan
15_0000,1,0,0,0.0,nan
16_0000,1,0,0,0.0,nan
17_0000,1,0,0,0.0,nan
18_0000,1,0,0,0.0,nan
19_0000,0,0,0,87.71256256103516,nan
20_0000,1,0,0,0.0,nan
21_0000,1,0,0,0.0,nan
22_0000,1,0,0,0.0,nan
23_0000,1,0,0,0.0,nan
24_0000,1,0,0,0.0,nan
25_0000,1,0,0,0.0,nan
26_0000,1,0,0,0.0,nan
27_0000,0,0,0,338.4336853027344,nan
28_0000,1,0,0,0.0,nan
29_0000,1,0,0,0.0,nan
30_0000,1,0,0,0.0,nan
31_0000,1,0,0,0.0,nan
32_0000,1,0,0,0.0,nan
33_0000,1,0,0,0.0,nan
34_0000,0,0,0,160.1940155029297,nan
35_0000,0,0,0,201.6102294921875,nan
36_0000,1,0,0,0.0,nan
37_0000,1,0,0,0.0,nan
38_0000,1,0,0,0.0,nan
39_0000,0,0,0,101.92514038085938,nan
40_0000,1,0,0,0.0,nan
41_0000,1,0,0,0.0,nan
42_0000,1,0,0,0.0,nan
43_0000,1,0,0,0.0,nan
44_0000,1,0,0,0.0,nan
45_0000,1,0,0,0.0,nan
46_0000,1,0,0,0.0,nan
47_0000,1,0,0,0.0,nan
48_0000,1,0,0,0.0,nan
49_0000,0,0,0,329.06622314453125,nan
50_0000,1,0,0,0.0,nan
51_0000,1,0,0,0.0,nan
52_0000,1,0,0,0.0,nan
53_0000,1,0,0,0.0,nan
54_0000,1,0,0,0.0,nan
55_0000,1,0,0,0.0,nan
56_0000,1,0,0,0.0,nan
57_0000,1,0,0,0.0,nan
58_0000,1,0,0,0.0,nan
59_0000,1,0,0,0.0,nan
60_0000,1,0,0,0.0,nan
61_0000,1,0,0,0.0,nan
62_0000,1,0,0,0.0,nan
63_0000,1,0,0,0.0,nan
64_0000,1,0,0,0.0,nan
65_0000,1,0,0,0.0,nan
66_0000,1,0,0,0.0,nan
67_0000,1,0,0,0.0,nan
68_0000,1,0,0,0.0,nan
69_0000,1,0,0,0.0,nan
70_0000,0,0,0,12.414999961853027,nan
71_0000,1,0,0,0.0,nan
72_0000,1,0,0,0.0,nan
73_0000,1,0,0,0.0,nan
74_0000,0,0,0,3.2792999744415283,nan
75_0000,1,0,0,0.0,nan
76_0000,1,0,0,0.0,nan
77_0000,1,0,0,0.0,nan
78_0000,0,0,0,43.389320373535156,nan
79_0000,1,0,0,0.0,nan
80_0000,1,0,0,0.0,nan
81_0000,1,0,0,0.0,nan
82_0000,0,0,0,0.9549999833106995,nan
83_0000,1,0,0,0.0,nan
84_0000,1,0,0,0.0,nan
85_0000,1,0,0,0.0,nan
86_0000,1,0,0,0.0,nan
87_0000,1,0,0,0.0,nan
88_0000,1,0,0,0.0,nan
89_0000,1,0,0,0.0,nan
90_0000,1,0,0,0.0,nan
91_0000,1,0,0,0.0,nan
92_0000,1,0,0,0.0,nan
93_0000,1,0,0,0.0,nan
94_0000,1,0,0,0.0,nan
95_0000,1,0,0,0.0,nan
96_0000,1,0,0,0.0,nan
97_0000,1,0,0,0.0,nan
98_0000,1,0,0,0.0,nan
99_0000,1,0,0,0.0,nan
