name,grasp_hit,place_hit,joint_hit,grasp_dist_px,place_dist_px
00_0000,1,0,0,0.0,nan
01_0000,1,0,0,0.0,nan
02_0000,1,0,0,0.0,nan
03_0000,1,0,0,0.0,nan
04_0000,1,0,0,0.0,nan
05_0000,1,0,0,0.0,nan
06_0000,0,0,0,71.4073715209961,nan
07_0000,1,0,0,0.0,nan
08_0000,0,0,0,nan,nan
09_0000,1,0,0,0.0,nan
100_Color,0,0,0,21.712200164794922,nan
101_Color,1,0,0,0.0,nan
102_Color,0,0,0,6.558599948883057,nan
103_Color,0,0,0,43.403316497802734,nan
104_Color,0,0,0,61.45702362060547,nan
105_Color,1,0,0,0.0,nan
106_Color,1,0,0,0.0,nan
107_Color,1,0,0,0.0,nan
108_Color,1,0,0,0.0,nan
109_Color,0,0,0,0.9549999833106995,nan
10_0000,0,0,0,nan,nan
110_Color,1,0,0,0.0,nan
111_Color,1,0,0,0.0,nan
112_Color,1,0,0,0.0,nan
113_Color,1,0,0,0.0,nan
114_Color,1,0,0,0.0,nan
115_Color,1,0,0,0.0,nan
116_Color,1,0,0,0.0,nan
117_Color,1,0,0,0.0,nan
118_Color,0,0,0,nan,nan
119_Color,1,0,0,0.0,nan
11_0000,1,0,0,0.0,nan
120_Color,0,0,0,2.865000009536743,nan
121_Color,1,0,0,0.0,nan
122_Color,1,0,0,0.0,nan
123_Color,0,0,0,84.70004272460938,nan
124_Color,1,0,0,0.0,nan
125_Color,1,0,0,0.0,nan
126_Color,1,0,0,0.0,nan
127_Color,0,0,0,2.738600015640259,nan
128_Color,1,0,0,0.0,nan
129_Color,1,0,0,0.0,nan
12_0000,0,0,0,16.43160057067871,nan
130,0,0,0,21.010000228881836,nan
131,0,0,0,40.110015869140625,nan
132,1,0,0,0.0,nan
133,1,0,0,0.0,nan
134,1,0,0,0.0,nan
135,1,0,0,0.0,nan
136,1,0,0,0.0,nan
137,1,0,0,0.0,nan
138,1,0,0,0.0,nan
139,0,0,0,103.42803192138672,nan
13_0000,1,0,0,0.0,nan
140,1,0,0,0.0,nan
141,1,0,0,0.0,nan
142,0,0,0,103.96873474121094,nan
143,0,0,0,nan,nan
144,1,0,0,0.0,nan
145,0,0,0,12.864399909973145,nan
146,1,0,0,0.0,nan
147,0,0,0,100.27513122558594,nan
148,1,0,0,0.0,nan
149,1,0,0,0.0,nan
14_0000,1,0,0,0.0,nan
150,1,0,0,0.0,nan
151,0,0,0,24.829999923706055,nan
152,1,0,0,0.0,nan
153,0,0,0,nan,nan
154,1,0,0,0.0,nan
155,0,0,0,28.649999618530273,nan
156,1,0,0,0.0,nan
157,0,0,0,nan,nan
158,1,0,0,0.0,nan
159,0,0,0,135.61000061035156,nan
15_0000,1,0,0,0.0,nan
16_0000,1,0,0,0.0,nan
17_0000,1,0,0,0.0,nan
18_0000,1,0,0,0.0,nan
19_0000,0,0,0,nan,nan
20_0000,0,0,0,1.3693000078201294,nan
21_0000,1,0,0,0.0,nan
22_0000,1,0,0,0.0,nan
23_0000,0,0,0,490.37445068359375,nan
24_0000,1,0,0,0.0,nan
25_0000,1,0,0,0.0,nan
26_0000,1,0,0,0.0,nan
27_0000,0,0,0,347.8011779785156,nan
28_0000,1,0,0,0.0,nan
29_0000,1,0,0,0.0,nan
30_0000,1,0,0,0.0,nan
31_0000,1,0,0,0.0,nan
32_0000,1,0,0,0.0,nan
33_0000,1,0,0,0.0,nan
34_0000,0,0,0,258.9173583984375,nan
35_0000,0,0,0,98.36499786376953,nan
36_0000,1,0,0,0.0,nan
37_0000,1,0,0,0.0,nan
38_0000,0,0,0,7.639999866485596,nan
39_0000,0,0,0,122.23999786376953,nan
